mktime,co2,temp,humidity

 sensirion,sensor_id=310BA co2=1694.880371,temp=27.432671,humidity=57.409668 946684801
 sensirion,sensor_id=310BA co2=1686.911133,temp=27.419319,humidity=56.201172 946684806
 sensirion,sensor_id=310BA co2=1689.017090,temp=27.491417,humidity=55.963135 946684812
 sensirion,sensor_id=310BA co2=1670.051758,temp=27.518120,humidity=55.355835 946684817
 sensirion,sensor_id=310BA co2=1671.604004,temp=27.504768,humidity=54.678345 946684822
 sensirion,sensor_id=310BA co2=1689.755859,temp=27.531471,humidity=55.189514 946684827
 sensirion,sensor_id=310BA co2=1699.348145,temp=27.475395,humidity=55.056763 946684832
 sensirion,sensor_id=310BA co2=1702.220703,temp=27.518120,humidity=54.759216 946684837
 1698188340, 777.992432, 26.711678, 43.452454
 1698188360, 778.283203, 26.738380, 43.586731
 1698188381, 780.972168, 26.738380, 43.722534
 1698188401, 777.856689, 26.711678, 43.878174
 1698188422, 774.895752, 26.725029, 44.010925
 1698188442, 776.744873, 26.698326, 44.180298
 1698188463, 774.474609, 26.636909, 44.451904
 1698188483, 772.260254, 26.698326, 44.459534
 1698188504, 773.037598, 26.682304, 44.615173
 1698188524, 775.394775, 26.668953, 44.807434
 1698188545, 773.463623, 26.698326, 44.834900
 1698188565, 771.583740, 26.682304, 44.978333
 1698188586, 768.696533, 26.698326, 45.101929
 1698188606, 770.902832, 26.652931, 45.266724
 1698188627, 766.495850, 26.652931, 45.425415
 1698188647, 764.312500, 26.725029, 45.434570
 1698188668, 760.919434, 26.725029, 45.507813
 1698188688, 761.829102, 26.725029, 45.628357
 1698188709, 762.012207, 26.797134, 45.663452
 1698188729, 762.173828, 26.767761, 45.756531
 1698188750, 759.045898, 26.711678, 46.076965
 1698188770, 757.154053, 26.767761, 46.095276
 1698188791, 755.631104, 26.767761, 46.121216
 1698188811, 756.708496, 26.797134, 46.148682
 1698188832, 757.309326, 26.823837, 46.157837
 1698188852, 754.632813, 26.866562, 46.264648
 1698188873, 752.271973, 26.781113, 46.524048
 1698188893, 748.192139, 26.810486, 46.588135
 1698188913, 749.549316, 26.866562, 46.534729
 1698188934, 747.980469, 26.810486, 46.708679
 1698188955, 751.158936, 26.781113, 46.972656
 1698188975, 748.234375, 26.754410, 47.128296
 1698188996, 745.906006, 26.781113, 47.166443
 1698189016, 745.338867, 26.797134, 47.157288
 1698189036, 745.132324, 26.823837, 47.293091
 1698189057, 742.527588, 26.837189, 47.404480
 1698189077, 743.338379, 26.810486, 47.389221
 1698189098, 743.551270, 26.823837, 47.526550
 1698189118, 745.222656, 26.866562, 47.508240
 1698189139, 741.783203, 26.909286, 47.633362
 1698189159, 741.605957, 26.895935, 47.633362
 1698189180, 743.743652, 26.879913, 47.789001
 1698189200, 741.588379, 26.895935, 47.898865
 1698189221, 741.274170, 26.879913, 47.911072
 1698189241, 741.958008, 26.866562, 48.176575
 1698189262, 740.053955, 26.895935, 48.190308
 1698189282, 739.569092, 26.922638, 47.962952
 1698189303, 739.749268, 26.909286, 47.816467
 1698189323, 738.286865, 26.909286, 47.645569
 1698189344, 741.103760, 26.909286, 47.402954
 1698189364, 740.810303, 26.895935, 47.216797
 1698189385, 739.588867, 26.922638, 47.038269
 1698189405, 739.168945, 26.909286, 46.844482
 1698189426, 736.595459, 26.922638, 46.662903
 1698189446, 734.948975, 26.922638, 46.455383
 1698189467, 734.278809, 26.922638, 46.347046
 1698189487, 731.507813, 26.909286, 46.139526
 1698189508, 729.790771, 26.810486, 46.199036
 1698189528, 729.752930, 26.853210, 46.070862
 1698189549, 718.398193, 26.837189, 45.887756
 1698189569, 726.228027, 26.797134, 45.783997
 1698189590, 723.346191, 26.837189, 45.642090
 1698189610, 724.819580, 26.837189, 45.509338
 1698189631, 724.892334, 26.781113, 45.333862
 1698189651, 724.335693, 26.797134, 45.344543
 1698189672, 724.350098, 26.781113, 45.283508
 1698189692, 721.973389, 26.797134, 45.018005
 1698189713, 722.240479, 26.837189, 44.900513
 1698189733, 719.499268, 26.810486, 44.859314
 1698189754, 719.311523, 26.823837, 44.633484
 1698189774, 716.718018, 26.922638, 44.450378
 1698189795, 716.021484, 26.909286, 44.300842
 1698189815, 717.784180, 26.909286, 44.180298
 1698189836, 715.386475, 26.952011, 44.012451
 1698189856, 715.256104, 26.935989, 43.939209
 1698189877, 719.719971, 26.935989, 43.782043
 1698189897, 717.849121, 26.952011, 43.759155
 1698189918, 717.235840, 26.965363, 43.626404
 1698189939, 718.129639, 26.952011, 43.550110
 1698189959, 714.742188, 26.965363, 43.467712
 1698189980, 716.221924, 26.965363, 43.362427
 1698190000, 711.715576, 26.965363, 43.338013
 1698190021, 709.891602, 26.978714, 43.232727
 1698190041, 709.401855, 26.952011, 43.177795
 1698190062, 708.907227, 26.965363, 43.127441
 1698190082, 709.036133, 26.965363, 43.072510
 1698190103, 708.086426, 26.922638, 43.003845
 1698190123, 711.187744, 26.922638, 43.028259
 1698190144, 709.199707, 26.853210, 43.032837
